Area,Perimeter,Major Axis Length,Minor Axis Length,Eccentricity,Convex Area,Extent,Class
15136,518.64,221.71,88.21,0.92,15469,0.53,1
12919,475.26,201.82,83.21,0.91,13256,0.77,1
15224,510.88,213.2,92.32,0.9,15686,0.64,1
12950,468.57,196.62,84.8,0.9,13584,0.76,1
13536,478.01,203.17,85.91,0.91,13810,0.55,1
15551,508.41,217.02,92.15,0.91,15786,0.81,1
14166,483.7,204.63,88.99,0.9,14412,0.77,1
13916,478.88,201.64,88.56,0.9,14221,0.6,1
12308,451.61,193.27,81.66,0.91,12488,0.72,1
15127,499.8,212.9,91.15,0.9,15370,0.71,1
14115,486.27,207.55,87.78,0.91,14422,0.6,1
17313,531.98,225.53,98.44,0.9,17582,0.57,1
15147,511.29,216.1,90.95,0.91,15637,0.53,1
16419,531.42,224.07,94.54,0.91,16874,0.55,1
13737,484.39,209.54,84.17,0.92,13944,0.61,1
14053,497.05,216.19,84.16,0.92,14416,0.81,1
11549,440.25,179.12,84.5,0.88,11961,0.6,1
16490,520.32,212.01,101.68,0.88,16873,0.63,1
14011,475.87,197.73,91.16,0.89,14315,0.78,1
15809,518.46,221.07,92.23,0.91,16079,0.81,1
12473,470.34,202.44,79.02,0.92,12806,0.53,1
15319,506.02,208.23,94.84,0.89,15813,0.57,1
15498,512.7,215.81,92.62,0.9,15914,0.58,1
13902,479.23,201.11,89.13,0.9,14202,0.7,1
14837,499.83,210.07,91.27,0.9,15263,0.68,1
15113,493.74,206.57,94.19,0.89,15374,0.66,1
16091,508.83,209.18,99.23,0.88,16431,0.67,1
15543,507.39,211.65,94.57,0.89,15976,0.65,1
13683,492.98,213.91,83.12,0.92,14070,0.76,1
12161,445.05,182.33,86.27,0.88,12428,0.6,1
13711,483.21,203.88,86.63,0.91,14097,0.56,1
12518,473.38,203.92,80.01,0.92,12778,0.68,1
13302,482.69,209.4,81.75,0.92,13827,0.6,1
16418,534.99,230.16,91.79,0.92,16736,0.65,1
14166,491.61,209.04,87.52,0.91,14386,0.6,1
14988,499.36,212.26,90.99,0.9,15245,0.59,1
14223,480.95,201.39,90.39,0.89,14441,0.64,1
12518,460.72,195.65,82.36,0.91,12813,0.69,1
12854,474.14,202.2,81.75,0.91,13242,0.64,1
15705,498.96,208.54,96.64,0.89,16009,0.77,1
14451,487.22,201.29,92.74,0.89,14776,0.65,1
14064,486.89,204.16,88.52,0.9,14388,0.65,1
13524,487.47,208.15,83.61,0.92,13830,0.64,1
13677,494.64,219.6,79.63,0.93,13936,0.53,1
12921,476.75,206.22,80.4,0.92,13218,0.55,1
13251,460.53,190.92,89,0.88,13528,0.75,1
14601,505.25,215.93,86.76,0.92,14991,0.67,1
15141,505.42,209.59,93.09,0.9,15559,0.57,1
12599,455.28,188.02,86.37,0.89,12897,0.62,1
14709,515.85,222.72,85.43,0.92,14941,0.52,1
12047,455.61,195.67,80.27,0.91,12339,0.54,1
13158,471,201.02,84.5,0.91,13462,0.62,1
15191,501.89,211.72,92.79,0.9,15492,0.57,1
13837,483.59,204.31,87.29,0.9,14139,0.57,1
13645,484.33,205.54,85.92,0.91,13972,0.55,1
16199,511.23,210,99.42,0.88,16637,0.74,1
13169,474.84,201.38,84.49,0.91,13505,0.55,1
14022,483.02,204.48,88.57,0.9,14358,0.7,1
12471,445.37,184.99,86.86,0.88,12688,0.67,1
12706,463.45,194.18,84.88,0.9,13011,0.8,1
14918,500.27,210.42,91.21,0.9,15185,0.64,1
14641,505,211.58,90.03,0.9,15034,0.63,1
15216,500.37,208.23,94.3,0.89,15558,0.57,1
12349,467.67,202.69,78.67,0.92,12572,0.55,1
13584,478.06,203.84,85.43,0.91,13877,0.68,1
14138,490.83,206.18,89.37,0.9,14523,0.76,1
11956,438.9,184.64,83.22,0.89,12121,0.58,1
10604,425.93,179.15,76.35,0.9,10830,0.57,1
14592,494.44,212.68,88.29,0.91,14838,0.75,1
12770,458.3,196.63,83.2,0.91,12949,0.6,1
15143,504.14,207.73,94.15,0.89,15628,0.57,1
12917,473.23,200.33,83.2,0.91,13302,0.67,1
15714,501.15,205.01,99.28,0.87,16074,0.73,1
14655,491.71,200.15,94.78,0.88,15181,0.6,1
15639,499.14,207.98,96.29,0.89,15895,0.71,1
15166,502.17,214.14,91.39,0.9,15475,0.79,1
13742,493.85,212.61,84.89,0.92,14272,0.58,1
13983,483.67,201.49,89.06,0.9,14320,0.57,1
11386,450.12,195.46,75.84,0.92,11612,0.51,1
15636,513.23,214.38,93.98,0.9,15913,0.57,1
13507,468.24,197.51,87.93,0.9,13735,0.58,1
13186,477.33,201.6,84.67,0.91,13516,0.54,1
14013,458.91,181.95,99.44,0.84,14323,0.79,1
16053,523.84,220.91,93.89,0.91,16496,0.75,1
13557,483.91,206.2,84.39,0.91,13845,0.55,1
13104,476.99,202.43,83.61,0.91,13464,0.54,1
15167,514.23,220.55,89,0.91,15456,0.63,1
14159,489.44,209.13,87.11,0.91,14410,0.55,1
14436,485.83,204.47,90.75,0.9,14864,0.61,1
15320,511.93,218.62,91.17,0.91,15740,0.55,1
15341,504.46,210.87,93.99,0.9,15628,0.77,1
14399,484.08,200.17,92.85,0.89,14849,0.6,1
16835,522.53,216.27,100.43,0.89,17404,0.74,1
13655,471.52,193.2,91.56,0.88,14053,0.71,1
14276,492.84,208.88,88.12,0.91,14706,0.58,1
12199,454.4,191.91,82.14,0.9,12555,0.75,1
12223,445.44,185.03,85.37,0.89,12460,0.8,1
13884,491.62,207.65,86.34,0.91,14232,0.54,1
15833,530.34,225.22,91.51,0.91,16337,0.59,1
12861,471.92,193.25,86.46,0.89,13330,0.63,1
15080,500.01,209.59,92.8,0.9,15614,0.73,1
16898,526.94,217.87,100.35,0.89,17274,0.62,1
16254,532.78,223.55,94.12,0.91,16680,0.55,1
14274,488.83,203.57,89.93,0.9,14529,0.57,1
13965,478.58,203.28,88.11,0.9,14135,0.81,1
13860,484.77,200.78,88.84,0.9,14238,0.66,1
13568,482.46,201.88,87.07,0.9,14068,0.64,1
14546,494.17,212.31,87.87,0.91,14826,0.63,1
16559,524.13,223.64,94.95,0.91,16961,0.78,1
15308,513.99,219.47,90.02,0.91,15720,0.76,1
14741,497.23,212.46,89.45,0.91,15036,0.55,1
13397,474.86,200.55,86.4,0.9,13762,0.69,1
15559,514.28,221.12,90.46,0.91,15903,0.78,1
13665,482.08,208.96,84.62,0.91,13998,0.6,1
15390,511.51,214.47,92.46,0.9,15788,0.77,1
14017,471.81,194.64,92.36,0.88,14314,0.71,1
14209,496.27,208.82,87.76,0.91,14667,0.57,1
14786,505.39,214.22,89.43,0.91,15177,0.73,1
15540,516.32,217.39,92.47,0.91,16084,0.63,1
17442,539.78,228.59,98.19,0.9,17698,0.58,1
17082,548.45,230.19,95.76,0.91,17576,0.59,1
14195,488.46,203.51,89.96,0.9,14555,0.72,1
15172,504.16,213.22,91.67,0.9,15477,0.62,1
14434,486.67,201.27,92.73,0.89,14754,0.63,1
12863,457.19,195.7,84.5,0.9,13023,0.81,1
14019,475.76,194.52,92.82,0.88,14308,0.59,1
15888,518.55,218.19,94.06,0.9,16245,0.56,1
13000,460.37,195.1,85.72,0.9,13231,0.58,1
14806,509.38,214.14,89.69,0.91,15594,0.71,1
14713,493.21,206.92,91.65,0.9,15162,0.59,1
13722,482.34,202.28,87.75,0.9,14189,0.61,1
15713,518.45,218.77,92.43,0.91,16038,0.58,1
12765,460.35,196.39,83.9,0.9,13139,0.57,1
13487,473.72,197.12,87.78,0.9,13773,0.75,1
15252,501.33,207.52,94.27,0.89,15595,0.59,1
13684,464.57,189.53,92.91,0.87,13928,0.61,1
14709,489.53,204.92,91.87,0.89,15041,0.64,1
14331,502.03,212.58,87.36,0.91,14618,0.54,1
15475,511.8,220.48,90.21,0.91,15734,0.83,1
14368,491.56,211.3,87.21,0.91,14596,0.62,1
13670,486.81,207.74,84.58,0.91,13923,0.58,1
14232,505.89,214.1,86.41,0.91,14702,0.53,1
14441,495.37,210.02,89.2,0.91,14805,0.54,1
14093,488.6,204.39,89.16,0.9,14463,0.58,1
15121,503.49,212.94,91.33,0.9,15470,0.78,1
15569,528.79,221.58,90.98,0.91,16286,0.57,1
15684,513.89,221.95,90.83,0.91,15944,0.78,1
14622,481.62,200.05,94.38,0.88,14845,0.61,1
14850,509.27,215.96,89.13,0.91,15372,0.8,1
14017,491.1,212.43,84.69,0.92,14287,0.76,1
11513,438.63,189.72,77.69,0.91,11736,0.68,1
14793,501.3,211.6,90.11,0.9,15049,0.66,1
14466,497.84,204.41,91.21,0.89,14885,0.66,1
12162,454.78,191.12,82.32,0.9,12493,0.75,1
17180,547.22,238.44,93.01,0.92,17517,0.57,1
13831,483.62,202.88,88.29,0.9,14270,0.59,1
13925,478.29,196.57,91.43,0.89,14323,0.66,1
14045,482.74,200.03,90.71,0.89,14305,0.57,1
16588,531.4,221.89,96.65,0.9,16854,0.58,1
14966,499.64,205.47,93.38,0.89,15387,0.58,1
16011,525.07,222.95,92.38,0.91,16298,0.56,1
14050,481.25,191.82,95.06,0.87,14600,0.61,1
14173,480.68,201.94,90.24,0.89,14519,0.6,1
14106,487.25,209.57,86.56,0.91,14348,0.54,1
15967,511.61,211.69,96.98,0.89,16329,0.59,1
11667,447.52,186.67,80.84,0.9,12039,0.67,1
14890,502.54,206.23,93.46,0.89,15349,0.59,1
13279,474.24,200.54,85.01,0.91,13757,0.73,1
13942,502.03,214.34,83.72,0.92,14273,0.64,1
13545,482.74,208.8,83.31,0.92,13759,0.53,1
14126,498.42,216.89,83.81,0.92,14410,0.76,1
14530,487.1,201.81,93.06,0.89,14926,0.69,1
13708,486.4,204.62,86.34,0.91,14361,0.58,1
14252,493.11,202.65,91.31,0.89,14627,0.56,1
14571,489.73,202.39,92.94,0.89,14884,0.58,1
16194,528.12,226.87,91.64,0.91,16524,0.55,1
14356,492.02,209.38,88.59,0.91,14652,0.58,1
15691,511.85,213.61,94.92,0.9,16124,0.66,1
14105,496.23,209.28,86.94,0.91,14567,0.6,1
14013,478.28,194.78,92.95,0.88,14374,0.6,1
15009,502.49,211.09,91.76,0.9,15370,0.62,1
13954,484.53,203.68,88.21,0.9,14288,0.75,1
16226,517.68,217.08,95.94,0.9,16466,0.58,1
14505,492.68,205.41,90.76,0.9,14834,0.58,1
15281,509.52,212.7,92.99,0.9,15689,0.64,1
15009,507.42,217.13,88.92,0.91,15387,0.6,1
14652,485.55,201.55,93.45,0.89,14883,0.59,1
15330,501.7,209.68,93.87,0.89,15617,0.58,1
14407,482.8,202.83,91.19,0.89,14671,0.74,1
15741,523.78,227.5,89.12,0.92,15999,0.56,1
14589,495.93,210.28,89.42,0.91,14853,0.67,1
16376,531,227.94,92.67,0.91,16667,0.74,1
14294,484.19,205.13,89,0.9,14542,0.7,1
14541,492.79,204.26,92.47,0.89,14893,0.76,1
16734,531.51,220.7,97.84,0.9,17242,0.66,1
13434,483.36,204.57,84.16,0.91,13773,0.72,1
14878,506.02,212.18,90.44,0.9,15237,0.58,1
14504,502.51,212.25,87.93,0.91,14895,0.55,1
14723,491.05,204.18,93.07,0.89,15021,0.58,1
15830,520.51,219.45,92.66,0.91,16121,0.6,1
14549,485.49,199.76,93.65,0.88,14846,0.62,1
14700,506.46,215.43,87.76,0.91,15050,0.71,1
14842,505.73,214.95,88.66,0.91,15313,0.54,1
14400,486.9,200.14,93.25,0.88,14714,0.62,1
12892,473.53,199.94,83.24,0.91,13193,0.56,1
16588,519.56,218.39,97.67,0.89,16852,0.64,1
15676,512.34,214.77,93.72,0.9,15961,0.78,1
16706,533.63,228.16,94.21,0.91,17037,0.64,1
14301,497.77,209.88,87.3,0.91,14591,0.6,1
15070,504.05,210.03,92.37,0.9,15400,0.65,1
15381,503.58,211.88,93.31,0.9,15749,0.74,1
15252,502.59,211.63,92.2,0.9,15495,0.57,1
14887,493.05,199.16,96.69,0.87,15347,0.62,1
14493,506.84,219,84.92,0.92,14804,0.54,1
14897,491.18,205.72,92.88,0.89,15137,0.59,1
14690,506.86,214.16,88.88,0.91,15064,0.58,1
13950,476.34,193.64,92.94,0.88,14280,0.72,1
14421,507.8,213.89,86.88,0.91,14881,0.65,1
14517,495.61,211.8,88.03,0.91,14815,0.69,1
14944,500.24,209.56,91.53,0.9,15255,0.63,1
14570,469.98,185.4,100.89,0.84,14895,0.65,1
11838,440.26,181.32,83.84,0.89,12165,0.6,1
15223,514.91,220.37,89.44,0.91,15492,0.55,1
13694,464.56,191.33,91.71,0.88,13918,0.71,1
17948,526.92,214.09,107.54,0.86,18322,0.67,1
14471,503.67,207.93,90.16,0.9,14894,0.55,1
16654,519.04,217.25,99,0.89,16976,0.76,1
14990,507.79,213.49,90.18,0.91,15318,0.57,1
16934,533.09,225.3,96.45,0.9,17323,0.75,1
16030,512.85,210.25,97.63,0.89,16306,0.6,1
15035,486.65,198.22,97.86,0.87,15279,0.62,1
16008,521.01,222.85,92.13,0.91,16315,0.61,1
14362,504.58,211.29,88.27,0.91,14724,0.54,1
15815,506.29,210.5,96.5,0.89,16112,0.8,1
14131,490.7,206.93,88.28,0.9,14519,0.75,1
12619,470.61,202.76,80.18,0.92,12937,0.61,1
13792,475.78,196.71,90.35,0.89,14183,0.77,1
14573,493.78,209.36,89.44,0.9,14847,0.65,1
14345,491.02,207.22,88.91,0.9,14650,0.59,1
13166,461.94,185.6,91.29,0.87,13562,0.66,1
11794,456.32,194.04,78.8,0.91,12116,0.65,1
13782,471.13,194.44,90.98,0.88,14000,0.6,1
14533,487.2,196.81,95.84,0.87,14873,0.65,1
12557,443.22,175.6,92.34,0.85,12860,0.62,1
16431,509.39,208.05,101.96,0.87,16875,0.73,1
11940,443.97,187.33,82.18,0.9,12184,0.64,1
15856,509.02,210.16,97.76,0.89,16160,0.76,1
15636,504.18,212.14,94.49,0.9,15927,0.74,1
14787,492.31,209.68,90.47,0.9,15066,0.8,1
16412,508.37,210.57,99.99,0.88,16759,0.73,1
15137,494.61,206.46,93.99,0.89,15400,0.76,1
16199,514.16,217.63,95.52,0.9,16475,0.71,1
15375,515.42,216,91.62,0.91,15780,0.6,1
11447,447.35,190.39,79.04,0.91,11753,0.54,1
16094,504.13,208.37,99.03,0.88,16325,0.65,1
11784,438.12,181.76,83.74,0.89,11981,0.8,1
15517,481.38,194.64,102.06,0.85,15718,0.65,1
15065,506.82,212.44,91.37,0.9,15516,0.72,1
15529,509.02,207.05,96.99,0.88,15993,0.6,1
13584,478.54,204.62,84.81,0.91,13817,0.68,1
12618,457.9,193.82,83.48,0.9,12851,0.58,1
13253,473.44,198.61,85.92,0.9,13535,0.69,1
15907,527.21,224.25,91.44,0.91,16206,0.55,1
13084,473.77,195.84,86.38,0.9,13453,0.59,1
15367,501.91,210.06,94.48,0.89,15644,0.79,1
13319,468.23,192.93,89.34,0.89,13694,0.7,1
15715,511.25,210.91,96,0.89,16096,0.58,1
12745,453.04,187.01,87.67,0.88,13040,0.61,1
14400,481.51,193.78,96.52,0.87,14876,0.68,1
14329,486.28,206.57,89.21,0.9,14588,0.81,1
14818,487.02,197.83,97.39,0.87,15261,0.63,1
13391,486.12,213.11,80.99,0.92,13661,0.52,1
14500,495.11,214.29,86.66,0.91,14712,0.58,1
15815,504.22,214.65,94.99,0.9,16059,0.81,1
12089,439.49,183.58,84.69,0.89,12302,0.81,1
14746,504.31,220.34,85.93,0.92,14995,0.8,1
13569,490.54,209.85,83.41,0.92,14061,0.53,1
15198,499.63,210.63,92.95,0.9,15521,0.75,1
12720,472.23,201.64,82.23,0.91,13352,0.75,1
14229,485.12,206.6,88.72,0.9,14455,0.75,1
13567,481.4,202.02,86.42,0.9,13976,0.75,1
13431,482.53,212.45,81.19,0.92,13786,0.78,1
12985,466.14,196.67,84.69,0.9,13221,0.59,1
15725,515.26,221.66,91.23,0.91,16027,0.6,1
15486,509.14,211.11,94.82,0.89,15921,0.69,1
14674,497.1,208.44,91.09,0.9,15049,0.68,1
13286,480.07,202.55,85.12,0.91,13633,0.55,1
15398,513.02,214.05,93.68,0.9,15936,0.7,1
14145,486.61,209.35,86.79,0.91,14370,0.77,1
16412,515.11,208.69,101.94,0.87,16857,0.77,1
15094,506.51,217.94,89.1,0.91,15346,0.67,1
15360,515.3,220.92,89.96,0.91,15662,0.64,1
13567,473.58,195.35,89.24,0.89,14020,0.65,1
13413,475.39,196.86,87.79,0.9,13917,0.57,1
15236,497.28,209.16,94.07,0.89,15563,0.76,1
15028,498.83,205.54,94.58,0.89,15382,0.58,1
15249,506.05,212.09,92.49,0.9,15582,0.78,1
14363,499.17,210.25,88.11,0.91,14669,0.61,1
14988,491.71,205.06,94.86,0.89,15270,0.58,1
14318,477.49,195.02,94.59,0.87,14585,0.76,1
14456,497.99,210.53,88.88,0.91,14865,0.68,1
15857,515.32,219.97,93.15,0.91,16109,0.7,1
15037,501.47,208.91,92.3,0.9,15452,0.58,1
12286,444.89,183.29,86.73,0.88,12583,0.68,1
16990,535.34,224.09,98.66,0.9,17371,0.6,1
14172,500.43,218.57,83.36,0.92,14399,0.61,1
15074,497.18,205.64,94.62,0.89,15536,0.72,1
17353,539.03,220.96,101.45,0.89,17845,0.63,1
13415,470.36,197.03,87.65,0.9,13629,0.58,1
16085,520.71,217.5,95.41,0.9,16514,0.7,1
14023,491.67,211.16,85.5,0.91,14262,0.54,1
13687,481.74,201.17,87.96,0.9,13979,0.7,1
14758,500.01,206.29,92.72,0.89,15166,0.58,1
14944,490.04,201.35,96.05,0.88,15305,0.61,1
16182,509.92,211.17,98.31,0.89,16522,0.75,1
14413,502.05,211.99,88.65,0.91,14826,0.58,1
14321,494.35,211.67,86.83,0.91,14583,0.56,1
15276,506.68,212.14,93.06,0.9,15574,0.58,1
14407,494.99,208.75,88.66,0.91,14716,0.57,1
13272,471.9,201.49,84.15,0.91,13492,0.57,1
14965,483.51,203.52,94.31,0.89,15151,0.78,1
16122,539,233.91,89.53,0.92,16440,0.51,1
14969,515.1,222.04,87.44,0.92,15269,0.55,1
12347,475.39,207.1,77.08,0.93,12857,0.52,1
13816,484.28,199.01,89.87,0.89,14356,0.64,1
12991,472.83,196.9,85.5,0.9,13380,0.74,1
13606,480.95,204.29,85.28,0.91,13861,0.58,1
14340,499.1,207.25,89.86,0.9,14863,0.66,1
14360,494.46,205.1,90.12,0.9,14825,0.66,1
13675,478.61,194.8,90.32,0.89,14146,0.58,1
14489,496.39,210.04,88.53,0.91,14843,0.62,1
14751,499.02,214.04,88.63,0.91,14955,0.55,1
15136,503.26,208.77,94.07,0.89,15471,0.6,1
13132,480.02,199.25,85.42,0.9,13594,0.58,1
13689,483.65,202.72,86.94,0.9,14183,0.78,1
14412,490.32,207.48,89.69,0.9,14703,0.6,1
12901,475.3,209.59,79.27,0.93,13219,0.68,1
13920,480.11,195.67,92.55,0.88,14350,0.58,1
13410,483.15,205.88,84.65,0.91,13866,0.73,1
12865,460.67,193.35,85.72,0.9,13120,0.63,1
12859,462.87,193.34,85.91,0.9,13279,0.71,1
16523,531.89,225,94.42,0.91,16911,0.58,1
15488,507.88,206.64,96.87,0.88,15968,0.6,1
9908,432.77,188.19,67.7,0.93,10205,0.61,1
13418,474.9,194.55,89.71,0.89,13973,0.6,1
15558,511.72,213.98,94.46,0.9,15926,0.63,1
13244,467.64,193.42,88.64,0.89,13672,0.8,1
14064,488.95,206.93,87.48,0.91,14315,0.76,1
15830,520.78,215.14,95.17,0.9,16326,0.61,1
15813,495.27,203.79,99.69,0.87,16095,0.74,1
16155,515.28,217.61,95.48,0.9,16418,0.58,1
15593,512.43,216.62,92.91,0.9,16050,0.78,1
13234,472.35,198.58,86.26,0.9,13512,0.74,1
14862,507.49,216.32,88.6,0.91,15125,0.78,1
13375,474.09,198.77,86.69,0.9,13768,0.7,1
13077,472.9,203.45,82.57,0.91,13405,0.63,1
14947,506.65,214.34,89.53,0.91,15364,0.56,1
14588,502.57,214.9,88.21,0.91,14923,0.54,1
11981,448.83,190.13,81.32,0.9,12154,0.56,1
12461,454.1,191.91,83.66,0.9,12683,0.56,1
13980,479.18,206.33,87.04,0.91,14137,0.86,1
14680,502.9,217.2,87,0.92,15000,0.58,1
13272,474.93,195.78,87.17,0.9,13597,0.59,1
14817,502.58,211.53,90.39,0.9,15113,0.57,1
13080,474.26,198.96,84.75,0.9,13511,0.7,1
16519,533.22,224.2,95.22,0.91,17041,0.74,1
13787,476.9,201.34,88.16,0.9,14045,0.58,1
16019,509.01,214.79,96.12,0.89,16248,0.66,1
12714,461.89,196.56,83.11,0.91,12900,0.64,1
12509,464.51,201.53,79.65,0.92,12703,0.54,1
15437,512.95,211.41,94.91,0.89,15984,0.73,1
12927,453.02,184.32,89.86,0.87,13196,0.74,1
13682,488.9,199.56,89.44,0.89,14457,0.6,1
14317,499.11,206.78,89.83,0.9,14815,0.8,1
16190,529.66,224.39,93.11,0.91,16530,0.53,1
14788,480.96,199.06,95.54,0.88,15044,0.66,1
14795,497.52,213.6,89.85,0.91,15002,0.8,1
14625,492.95,206.59,91.43,0.9,14972,0.74,1
14982,505.08,217.36,88.6,0.91,15325,0.56,1
15118,514.97,224.19,87.69,0.92,15454,0.65,1
14337,494.3,206.69,89.75,0.9,14859,0.71,1
13969,486.51,206.03,87.73,0.9,14277,0.65,1
12333,463.15,196.6,81.6,0.91,12705,0.59,1
15200,502.59,214.13,91.12,0.9,15461,0.62,1
12292,457.29,194.89,80.99,0.91,12561,0.56,1
15290,519.32,221.43,88.88,0.92,15699,0.66,1
13858,490.57,203.71,88.17,0.9,14265,0.65,1
16259,522.62,215.51,97.42,0.89,16728,0.58,1
15929,513.94,212.66,97,0.89,16293,0.73,1
12580,479.22,208.42,77.74,0.93,12879,0.57,1
13269,485.61,207.12,83.32,0.92,13741,0.71,1
13893,474.13,200.74,89.17,0.9,14123,0.57,1
13724,481.77,200.89,88.17,0.9,14038,0.68,1
11689,444.9,191.94,78.1,0.91,11935,0.55,1
15676,511.67,215.81,93.57,0.9,16016,0.78,1
14401,482.18,203.07,91.35,0.89,14608,0.72,1
13731,489.06,212.44,82.91,0.92,14014,0.59,1
14274,499.09,214.4,85.25,0.92,14559,0.66,1
13445,490.82,216.17,79.6,0.93,13640,0.54,1
12800,471.33,203.56,81.31,0.92,13141,0.61,1
14683,493.57,209.05,90.58,0.9,14947,0.7,1
13846,479.59,197,90.92,0.89,14200,0.72,1
14352,484.08,203.5,91.27,0.89,14656,0.57,1
14071,479.09,197.4,92.3,0.88,14398,0.6,1
14476,489.24,203.86,91.66,0.89,14807,0.68,1
13516,483.69,207.53,83.69,0.92,13746,0.7,1
12346,456.9,193.61,82.04,0.91,12529,0.59,1
13092,465.44,197.04,85.84,0.9,13369,0.77,1
12860,469.56,197.66,84.12,0.9,13269,0.56,1
13746,483.82,205.84,86.19,0.91,14060,0.72,1
13277,486.96,201.84,85.26,0.91,13771,0.61,1
15651,512.29,212.77,95.73,0.89,16022,0.57,1
16094,509.98,215.55,95.62,0.9,16403,0.76,1
15694,506.51,211.83,96.02,0.89,16010,0.58,1
14254,500.49,213.08,86.78,0.91,14644,0.62,1
12801,459.42,195.1,84.8,0.9,13058,0.76,1
14646,511.45,220.48,85.63,0.92,14999,0.64,1
14805,499.64,214.28,89.17,0.91,15090,0.58,1
14811,512.11,217.74,87.48,0.92,15090,0.55,1
16513,525.98,219.28,97.95,0.89,16950,0.61,1
12149,455.56,191.45,82.06,0.9,12510,0.71,1
13457,483.61,211.01,81.87,0.92,13763,0.67,1
13066,478,207.52,80.52,0.92,13348,0.56,1
13293,470.27,197.96,86.08,0.9,13553,0.71,1
11935,464.93,196.54,79.72,0.91,12358,0.57,1
12986,462.11,195.52,86.11,0.9,13288,0.79,1
14003,489.29,208.33,87.19,0.91,14421,0.58,1
12377,465.05,197.08,81.92,0.91,12669,0.63,1
12840,466.9,198.16,83.23,0.91,13091,0.59,1
13819,487.67,207.97,86.19,0.91,14181,0.57,1
14755,499.82,202.61,95.52,0.88,15123,0.6,1
14485,495.47,212,88.24,0.91,14745,0.65,1
14478,469.16,190.85,97.34,0.86,14686,0.77,1
16933,521.92,221.33,98.1,0.9,17212,0.78,1
14363,493.26,210.57,87.42,0.91,14621,0.58,1
13927,479.36,202.79,88.48,0.9,14264,0.77,1
15303,505.93,209.62,94.16,0.89,15746,0.62,1
14060,496.04,211.38,85.94,0.91,14448,0.67,1
12682,459.96,195.44,83.6,0.9,12892,0.58,1
13059,456.44,185.98,90.2,0.87,13339,0.62,1
14557,492.41,205.11,91.45,0.9,14961,0.74,1
13582,476.67,199.45,88.41,0.9,13825,0.57,1
13678,472.12,200.25,88.03,0.9,13879,0.58,1
11589,449.36,196.65,75.98,0.92,11783,0.56,1
13681,485.41,205.01,86.49,0.91,14146,0.56,1
